Lat,Lon,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3780737997248,-71.1487148860854,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3783160075564,-71.1485830228553,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3783890419039,-71.1485392937625,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3784716628469,-71.1484982188463,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3785071736222,-71.1484808172795,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3785650354689,-71.1484504429427,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3787471270066,-71.148351283744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3787967966318,-71.1481623573857,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3767580817985,-71.1483292511351,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3750497619383,-71.1482420073699,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.375043272922,-71.1483188052247,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3749658592141,-71.1488355395409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3749102208606,-71.1495425228769,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3748073260725,-71.1494974985455,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3748234992702,-71.1497473402952,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3776059958507,-71.1505908166397,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3776936308758,-71.1506178749935,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3780963655519,-71.1503114298925,37.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3776706109579,-71.1498552889546,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3776774232601,-71.149722384589,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3776348277051,-71.1493604110986,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.37763242755,-71.1491039345852,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3777155522139,-71.1490558793622,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3780044001271,-71.1488990062497,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.378131678243,-71.1493504704804,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3763379325046,-71.105482324973,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3762721631352,-71.1055168487332,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3761352778842,-71.1055531841676,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3951877039057,-71.1482154167061,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3951806107924,-71.1481720288631,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.397695476617,-71.1284640543721,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3977387542005,-71.1285823884183,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3781541157496,-71.1494721880677,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3781778705283,-71.1496246761435,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3797825553355,-71.1508892830989,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3798019305366,-71.1509123025111,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3799102930273,-71.1511928414727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3799313824605,-71.1512710577287,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3799469348122,-71.1513402124492,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3760437719641,-71.1055747912315,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3759648545603,-71.1055946728131,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
