LAT_DEG,LONG_DEG,As
22.305,89.11,168
22.305,89.111,2
22.333,89.04,17.4
22.711,89.107,143
22.703,89.073,3.5
22.703,89.054,227
22.57,89.076,56.2
22.733,89.297,75.8
22.782,89.251,16.6
22.782,89.251,15.5
22.778,89.205,270
22.679,89.256,233
22.721,89.207,291
22.765,89.143,108
22.795,89.12,319
22.504,89.199,330
22.414,89.217,261
22.535,89.12,0.5
22.535,89.12,86.2
22.615,89.15,236
22.666,89.876,103
22.689,89.865,16.4
22.606,89.85,45.6
22.602,89.887,10.1
22.608,89.844,177
22.782,89.877,480
22.841,89.849,96.9
22.857,89.872,269
22.366,89.071,10
22.365,89.086,509
22.561,89.863,81.3
22.487,89.866,3.6
22.601,89.893,472
22.583,89.959,27.2
22.456,89.859,30.2
22.263,89.834,1.8
22.287,89.844,60.1
22.313,89.854,24.8
22.663,89.774,130
22.715,89.667,635
22.718,89.668,0.5
22.704,89.688,234
22.732,89.754,26.2
22.664,89.783,299
22.662,89.798,10.8
22.658,89.771,1.1
22.671,89.694,0.5
23.082,89.526,0.5
23.16,89.444,203
23.161,89.482,40.4
23.154,89.511,20
23.173,89.505,184
23.504,89.402,1
23.508,89.341,28.9
23.501,89.436,0.5
23.409,89.399,106
23.462,89.467,0.5
23.374,89.508,9.1
23.419,89.491,0.5
23.486,89.428,33.3
23.485,89.429,10.8
23.401,89.6,168
23.358,89.581,0.5
23.336,89.52,0.5
23.368,89.556,0.5
23.439,89.502,0.5
23.488,89.563,0.5
23.45,89.573,7.5
23.119,89.081,107
23.104,89.112,72.4
23.098,89.047,0.5
23.051,89.055,201
23.005,89.038,83.6
22.979,89.074,107
22.965,89.021,49.6
23.093,89.345,0.5
23.02,89.406,0.5
22.981,89.392,77.7
22.982,89.479,3
23.046,89.398,355
23.019,89.407,283
23.218,89.232,1.7
23.191,89.217,77.8
23.13,89.306,121
23.419,88.822,98.7
23.43,88.779,15.5
23.474,88.836,44.6
23.479,88.9,0.5
23.44,88.92,67.2
23.461,88.961,9.6
23.501,88.956,131
23.433,89.052,37.2
23.479,89.022,0.5
23.409,89.014,0.5
23.408,89.013,4.9
23.745,89.264,0.5
23.663,89.356,21.2
23.68,89.239,83.8
23.686,89.253,1.4
23.663,89.199,5.1
23.711,89.151,14.8
23.693,89.178,281
23.643,89.201,30.8
23.653,89.048,15.8
23.719,89.077,18.9
23.651,89.123,0.8
23.648,89.047,0.5
23.606,89.075,135
23.579,89.129,11.7
23.86,89.238,4.7
23.901,89.259,377
23.906,89.225,11.7
23.898,89.186,0.5
23.86,89.163,1.3
22.86,89.877,398
22.82,89.874,186
22.803,89.901,170
22.791,89.876,134
22.532,89.59,14
22.476,89.597,0.5
22.469,89.605,4.1
23.213,89.488,0.5
23.223,89.45,0.5
23.269,89.498,1.2
23.581,89.444,2.8
23.558,89.493,0.5
23.437,89.465,0.5
23.643,89.435,0.5
23.636,89.374,15.2
23.594,89.369,0.5
23.809,89.23,4.4
23.772,89.194,0.7
24.011,88.877,135
24.096,88.924,665
24.015,88.944,0.5
24.05,88.766,0.5
24.046,88.836,0.5
23.952,88.881,0.5
23.982,88.838,0.5
22.715,90.352,42.8
22.736,90.381,0.5
22.739,90.379,0.5
22.696,90.377,385
22.696,90.373,2.8
22.702,90.357,54
22.893,90.506,41.5
22.884,90.568,0.8
23.546,89.163,24.3
23.664,89.132,11.9
23.765,89.302,0.5
23.84,89.32,0.5
23.869,89.346,0.5
23.807,89.285,2.2
23.807,89.285,0.5
24.058,88.992,1660
24.102,88.985,212
24.102,88.985,9.9
24.01,88.931,75.7
24.07,88.96,52.7
24.024,88.959,98.4
23.816,88.981,0.5
23.863,88.975,32.8
23.891,89.064,63.6
23.008,89.584,0.5
23.044,89.603,255
23.118,88.93,30.7
23.056,88.953,21.7
23.056,88.953,7.8
23.044,88.901,1.4
23.011,88.9,38.4
22.945,88.936,57.3
23.015,88.964,15.7
22.855,89.19,40.4
22.826,89.161,308
22.907,89.168,93.2
22.891,89.267,170
22.912,89.324,0.5
22.912,89.324,0.5
22.872,89.317,2.3
23.262,89.178,172
23.222,89.149,90.3
23.17,89.138,132
23.127,89.18,0.5
23.178,89.195,10.5
23.179,89.197,0.5
23.15,89.209,0.5
23.162,89.209,0.5
23.601,88.775,64.6
23.544,88.758,130
23.498,88.749,119
23.617,88.658,120
23.599,88.728,33.5
23.693,88.799,497
23.654,88.713,24
23.579,88.947,0.5
23.618,88.92,47.5
23.67,88.82,0.9
23.644,88.844,70.4
23.644,88.844,45.3
23.816,88.748,12.8
23.816,88.748,13.2
23.824,88.811,0.5
23.91,88.855,38.2
23.898,88.734,62.5
23.851,88.654,58.4
23.364,89.193,29.4
23.363,89.157,0.5
23.295,89.159,90.9
23.336,89.084,0.5
23.395,89.08,0.5
23.406,89.131,15.4
23.406,89.131,7.4
23.551,89.015,0.5
23.505,89.046,34.6
23.566,89.048,30.4
23.543,89.074,27.6
23.044,89.679,248
23.239,89.62,0.5
23.258,89.591,37.2
23.21,89.594,0.5
23.181,89.645,149
23.267,89.021,59
23.3,88.99,23.2
23.274,88.992,52.6
23.324,89.031,39.9
23.3,89.068,27.8
23.221,89.048,86.7
23.248,89.061,68.6
23.24,89.097,0.5
22.925,89.354,0.5
22.924,89.354,30.1
23.001,89.311,71.9
23.066,89.285,178
23.066,89.23,96.8
23.018,89.139,224
23.067,89.118,40.1
22.959,89.136,88.9
23.181,89.4,61.8
23.166,89.375,0.5
23.219,89.346,27.5
23.276,89.351,4.8
23.276,89.381,27.5
23.255,89.298,0.9
23.321,89.267,26.3
23.76,88.942,41.1
23.721,89.001,1.2
23.675,88.943,70.6
23.714,88.913,150
23.732,88.87,103
23.694,88.802,538
23.761,88.829,30.4
23.808,88.856,4.8
23.794,88.905,1.6
23.564,88.884,36.4
23.523,88.918,66.2
23.536,88.851,22
23.596,88.842,99.7
23.678,88.684,189
23.628,88.627,228
23.628,88.627,482
23.717,88.615,70.8
23.817,88.676,357
23.838,88.642,76.6
23.769,88.598,43.4
23.352,88.918,1.7
23.3,88.91,51.8
23.255,88.886,24
23.282,88.818,10.4
23.247,88.782,5.8
23.295,88.753,96.9
23.37,88.802,3.4
23.388,88.909,557
23.37,88.974,67.1
23.462,89.22,3.4
23.491,89.28,12.6
23.524,89.299,148
23.562,89.277,33.2
23.54,89.209,129
23.861,89.037,9
23.79,89.007,1.2
